period_id,route_id,direction_id,avg_n_trips,median_n_trips,days_with_service,share_days_with_service,route_short_name,route_long_name,route_type
P1,1,0,0,0,0,0,1,Bronzeville/Union Station,3
P1,1,1,0,0,0,0,1,Bronzeville/Union Station,3
P1,10,0,7,7,16,1,10,Museum of Science & Industry,3
P1,10,1,7,7,16,1,10,Museum of Science & Industry,3
P1,100,0,0,0,0,0,100,Jeffery Manor Express,3
P1,100,1,0,0,0,0,100,Jeffery Manor Express,3
P1,103,0,12,12,16,1,103,West 103rd,3
P1,103,1,11,11,16,1,103,West 103rd,3
P1,106,0,14,14,16,1,106,East 103rd,3
P1,106,1,12,12,16,1,106,East 103rd,3
P1,108,0,0,0,0,0,108,Halsted/95th,3
P1,108,1,0,0,0,0,108,Halsted/95th,3
P1,11,0,10,10,16,1,11,Lincoln,3
P1,11,1,10,10,16,1,11,Lincoln,3
P1,111,0,14,14,16,1,111,111th/King Drive,3
P1,111,1,14,14,16,1,111,111th/King Drive,3
P1,111A,0,10,10,16,1,111A,Pullman Shuttle,3
P1,111A,1,10,10,16,1,111A,Pullman Shuttle,3
P1,112,0,12,12,16,1,112,Vincennes/111th,3
P1,112,1,13,13,16,1,112,Vincennes/111th,3
P1,115,0,14,14,16,1,115,Pullman/115th,3
P1,115,1,15,15,16,1,115,Pullman/115th,3
P1,119,0,17,17,16,1,119,Michigan/119th,3
P1,119,1,17,17,16,1,119,Michigan/119th,3
P1,12,0,22,22,16,1,12,Roosevelt,3
P1,12,1,22,22,16,1,12,Roosevelt,3
P1,120,0,0,0,0,0,120,Ogilvie/Streeterville Express,3
P1,120,1,0,0,0,0,120,Ogilvie/Streeterville Express,3
P1,121,0,0,0,0,0,121,Union/Streeterville Express,3
P1,121,1,0,0,0,0,121,Union/Streeterville Express,3
P1,124,0,12,15,16,1,124,Navy Pier,3
P1,124,1,12,15,16,1,124,Navy Pier,3
P1,125,0,0,0,0,0,125,Water Tower Express,3
P1,125,1,0,0,0,0,125,Water Tower Express,3
P1,126,0,15,15,16,1,126,Jackson,3
P1,126,1,14,14,16,1,126,Jackson,3
P1,130,0,13,13,16,1,130,Museum Campus,3
