route_id,route_short_name,route_long_name,P1_avg_headway_min,P2_avg_headway_min,P3_avg_headway_min,P1_share_days_present,P2_share_days_present,P3_share_days_present,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
171,171,U. of Chicago/Hyde Park,24.375,15,15,1,1,1,-9.375,0,-9.375
172,172,U. of Chicago/Kenwood,15.3125,7.5,7.5,1,1,1,-7.8125,0,-7.8125
37,37,Sedgwick,13.46875,10.916666666666666,10.916666666666666,1,1,1,-2.552083333333334,0,-2.552083333333334
65,65,Grand,12.083333333333334,10,10,1,1,1,-2.083333333333334,0,-2.083333333333334
86,86,Narragansett/Ridgeland,18.21875,20,20,1,1,1,1.78125,0,1.78125
84,84,Peterson,12.833333333333334,12,12,1,1,1,-0.8333333333333339,0,-0.8333333333333339
8,8,Halsted,7.5,6.666666666666667,6.666666666666667,1,1,1,-0.833333333333333,0,-0.833333333333333
157,157,Streeterville/Taylor,11.59375,10.916666666666666,10.916666666666666,1,1,1,-0.6770833333333339,0,-0.6770833333333339
53A,53A,South Pulaski,11.322916666666666,12,12,1,1,1,0.6770833333333339,0,0.6770833333333339
120,120,Ogilvie/Streeterville Express,10.572916666666666,10,10,1,1,1,-0.5729166666666661,0,-0.5729166666666661
152,152,Addison,8.983333333333333,8.566666666666666,8.566666666666666,1,1,1,-0.4166666666666661,0,-0.4166666666666661
82,82,Kimball/Homan,8.983333333333333,8.566666666666666,8.566666666666666,1,1,1,-0.4166666666666661,0,-0.4166666666666661
53,53,Pulaski,8.354166666666666,8,8,1,1,1,-0.3541666666666661,0,-0.3541666666666661
55,55,Garfield,8.354166666666666,8,8,1,1,1,-0.3541666666666661,0,-0.3541666666666661
72,72,North,7.229166666666667,7.5,7.5,1,1,1,0.27083333333333304,0,0.27083333333333304
66,66,Chicago,5.89375,5.716666666666667,5.716666666666667,1,1,1,-0.17708333333333304,0,-0.17708333333333304
