route_id,direction_id,route_short_name,route_long_name,P1_avg_n_trips,P2_avg_n_trips,P3_avg_n_trips,P1_share_days_with_service,P2_share_days_with_service,P3_share_days_with_service,diff_P2_vs_P1,diff_P3_vs_P2,diff_P3_vs_P1
172,0,172,U. of Chicago/Kenwood,11.875,20,20,1,1,1,8.125,0,8.125
172,1,172,U. of Chicago/Kenwood,10.75,17,17,1,1,1,6.25,0,6.25
53,1,53,Pulaski,23,28,28,1,1,1,5,0,5
53A,0,53A,South Pulaski,19,14,14,1,1,1,-5,0,-5
53,0,53,Pulaski,24.625,29,29,1,1,1,4.375,0,4.375
152,1,152,Addison,20.25,24,24,1,1,1,3.75,0,3.75
53A,1,53A,South Pulaski,15.75,12,12,1,1,1,-3.75,0,-3.75
82,1,82,Kimball/Homan,23.25,27,27,1,1,1,3.75,0,3.75
171,0,171,U. of Chicago/Hyde Park,5.875,9,9,1,1,1,3.125,0,3.125
171,1,171,U. of Chicago/Hyde Park,5.875,9,9,1,1,1,3.125,0,3.125
37,0,37,Sedgwick,12.5,15,15,1,1,1,2.5,0,2.5
65,0,65,Grand,15.5,18,18,1,1,1,2.5,0,2.5
82,0,82,Kimball/Homan,20.5,23,23,1,1,1,2.5,0,2.5
10,0,10,Museum of Science & Industry,2,1.1111111111111112,0,1,0.5555555555555556,0,-0.8888888888888888,-1.1111111111111112,-2
157,1,157,Streeterville/Taylor,14.125,16,16,1,1,1,1.875,0,1.875
72,1,72,North,25.875,24,24,1,1,1,-1.875,0,-1.875
152,0,152,Addison,20.75,22,22,1,1,1,1.25,0,1.25
157,0,157,Streeterville/Taylor,15.75,17,17,1,1,1,1.25,0,1.25
206,0,206,Evanston Circulator,4.75,6,6,1,1,1,1.25,0,1.25
50,1,50,Damen,18.75,20,20,1,1,1,1.25,0,1.25
73,1,73,Armitage,18.75,20,20,1,1,1,1.25,0,1.25
108,0,108,Halsted/95th,5.375,6,6,1,1,1,0.625,0,0.625
120,1,120,Ogilvie/Streeterville Express,13.375,14,14,1,1,1,0.625,0,0.625
126,0,126,Jackson,11.625,11,11,1,1,1,-0.625,0,-0.625
18,1,18,16th/18th,11.625,11,11,1,1,1,-0.625,0,-0.625
20,0,20,Madison,32.625,32,32,1,1,1,-0.625,0,-0.625
20,1,20,Madison,30.375,31,31,1,1,1,0.625,0,0.625
24,0,24,Wentworth,11.375,12,12,1,1,1,0.625,0,0.625
35,1,35,31st/35th,12.625,12,12,1,1,1,-0.625,0,-0.625
37,1,37,Sedgwick,9.375,10,10,1,1,1,0.625,0,0.625
44,1,44,Wallace/Racine,10.625,10,10,1,1,1,-0.625,0,-0.625
52,0,52,Kedzie,17.625,17,17,1,1,1,-0.625,0,-0.625
54A,0,54A,North Cicero/Skokie Blvd.,6.375,7,7,1,1,1,0.625,0,0.625
56,1,56,Milwaukee,16.375,17,17,1,1,1,0.625,0,0.625
63,1,63,63rd,26.625,26,26,1,1,1,-0.625,0,-0.625
66,0,66,Chicago,27.375,28,28,1,1,1,0.625,0,0.625
66,1,66,Chicago,40.375,41,41,1,1,1,0.625,0,0.625
67,0,67,67th/69th/71st,16.625,16,16,1,1,1,-0.625,0,-0.625
70,1,70,Division,24.625,24,24,1,1,1,-0.625,0,-0.625
72,0,72,North,26.625,26,26,1,1,1,-0.625,0,-0.625
73,0,73,Armitage,17.375,18,18,1,1,1,0.625,0,0.625
77,0,77,Belmont,34.375,35,35,1,1,1,0.625,0,0.625
77,1,77,Belmont,32.375,33,33,1,1,1,0.625,0,0.625
78,1,78,Montrose,16.625,16,16,1,1,1,-0.625,0,-0.625
84,0,84,Peterson,12.375,13,13,1,1,1,0.625,0,0.625
86,0,86,Narragansett/Ridgeland,8.625,8,8,1,1,1,-0.625,0,-0.625
87,1,87,87th,18.375,19,19,1,1,1,0.625,0,0.625
93,1,93,California/Dodge,9.375,10,10,1,1,1,0.625,0,0.625
1,0,1,Bronzeville/Union Station,8,8,8,1,1,1,0,0,0
1,1,1,Bronzeville/Union Station,11,11,11,1,1,1,0,0,0
10,1,10,Museum of Science & Industry,0,0,0,0,0,0,0,0,0
100,0,100,Jeffery Manor Express,7,7,7,1,1,1,0,0,0
100,1,100,Jeffery Manor Express,6,6,6,1,1,1,0,0,0
103,0,103,West 103rd,11,11,11,1,1,1,0,0,0
103,1,103,West 103rd,11,11,11,1,1,1,0,0,0
106,0,106,East 103rd,10,10,10,1,1,1,0,0,0
106,1,106,East 103rd,10,10,10,1,1,1,0,0,0
108,1,108,Halsted/95th,7,7,7,1,1,1,0,0,0
11,0,11,Lincoln,9,9,9,1,1,1,0,0,0
11,1,11,Lincoln,8,8,8,1,1,1,0,0,0
111,0,111,111th/King Drive,11,11,11,1,1,1,0,0,0
111,1,111,111th/King Drive,10,10,10,1,1,1,0,0,0
111A,0,111A,Pullman Shuttle,6,6,6,1,1,1,0,0,0
111A,1,111A,Pullman Shuttle,7,7,7,1,1,1,0,0,0
112,0,112,Vincennes/111th,10,10,10,1,1,1,0,0,0
112,1,112,Vincennes/111th,9,9,9,1,1,1,0,0,0
115,0,115,Pullman/115th,12,12,12,1,1,1,0,0,0
115,1,115,Pullman/115th,13,13,13,1,1,1,0,0,0
119,0,119,Michigan/119th,12,12,12,1,1,1,0,0,0
