route_id,P1,P2,P3,status_P2_vs_P1,status_P3_vs_P2,status_P3_vs_P1,diff_P2_vs_P1_min,diff_P3_vs_P2_min,diff_P3_vs_P1_min
10,1800,1800,NA,both,only_P2,only_P1,0,NA,NA
103,1200,1200,1200,both,both,both,0,0,0
106,900,900,900,both,both,both,0,0,0
108,10800,10800,10800,both,both,both,0,0,0
11,1200,1200,1200,both,both,both,0,0,0
111,900,900,900,both,both,both,0,0,0
111A,1200,1200,1200,both,both,both,0,0,0
112,1080,1080,1080,both,both,both,0,0,0
115,900,900,900,both,both,both,0,0,0
119,720,720,720,both,both,both,0,0,0
12,635,635,635,both,both,both,0,0,0
124,1543,1543,1543,both,both,both,0,0,0
126,982,982,982,both,both,both,0,0,0
130,982,982,NA,both,only_P2,only_P1,0,NA,NA
146,600,600,600,both,both,both,0,0,0
147,900,900,900,both,both,both,0,0,0
15,900,900,900,both,both,both,0,0,0
151,720,720,720,both,both,both,0,0,0
152,982,982,982,both,both,both,0,0,0
155,720,720,720,both,both,both,0,0,0
156,1200,1200,1200,both,both,both,0,0,0
157,982,982,982,both,both,both,0,0,0
171,1543,1543,1543,both,both,both,0,0,0
172,900,900,900,both,both,both,0,0,0
18,1200,1200,1200,both,both,both,0,0,0
20,514,514,514,both,both,both,0,0,0
201,1800,1800,1800,both,both,both,0,0,0
21,900,900,900,both,both,both,0,0,0
22,635,635,635,both,both,both,0,0,0
24,1200,1200,1200,both,both,both,0,0,0
26,982,982,982,both,both,both,0,0,0
28,900,900,900,both,both,both,0,0,0
29,771,771,771,both,both,both,0,0,0
3,675,675,675,both,both,both,0,0,0
30,1200,1200,1200,both,both,both,0,0,0
31,1800,1800,1800,both,both,both,0,0,0
34,600,600,600,both,both,both,0,0,0
35,1200,1200,1200,both,both,both,0,0,0
36,771,771,771,both,both,both,0,0,0
37,1543,1543,1543,both,both,both,0,0,0
39,1543,1543,1543,both,both,both,0,0,0
4,568,568,568,both,both,both,0,0,0
43,1080,1080,1080,both,both,both,0,0,0
44,1200,1200,1200,both,both,both,0,0,0
47,568,568,568,both,both,both,0,0,0
48,10800,10800,10800,both,both,both,0,0,0
49,470,470,470,both,both,both,0,0,0
49B,675,675,675,both,both,both,0,0,0
50,900,900,900,both,both,both,0,0,0
51,1080,1080,1080,both,both,both,0,0,0
52,831,831,831,both,both,both,0,0,0
52A,1080,1080,1080,both,both,both,0,0,0
53,540,540,540,both,both,both,0,0,0
53A,900,900,900,both,both,both,0,0,0
54,568,568,568,both,both,both,0,0,0
54A,10800,10800,10800,both,both,both,0,0,0
54B,1350,1350,1350,both,both,both,0,0,0
55,600,600,600,both,both,both,0,0,0
55N,1350,1350,1350,both,both,both,0,0,0
56,982,982,982,both,both,both,0,0,0
57,1080,1080,1080,both,both,both,0,0,0
59,1200,1200,1200,both,both,both,0,0,0
6,720,720,720,both,both,both,0,0,0
60,600,600,600,both,both,both,0,0,0
62,900,900,900,both,both,both,0,0,0
62H,1800,1800,1800,both,both,both,0,0,0
63,470,470,470,both,both,both,0,0,0
63W,1543,1543,1543,both,both,both,0,0,0
65,1200,1200,1200,both,both,both,0,0,0
66,415,415,415,both,both,both,0,0,0
67,600,600,600,both,both,both,0,0,0
68,1543,1543,1543,both,both,both,0,0,0
7,900,900,900,both,both,both,0,0,0
70,720,720,720,both,both,both,0,0,0
71,720,720,720,both,both,both,0,0,0
72,635,635,635,both,both,both,0,0,0
73,1080,1080,1080,both,both,both,0,0,0
74,720,720,720,both,both,both,0,0,0
75,720,720,720,both,both,both,0,0,0
76,900,900,900,both,both,both,0,0,0
77,540,540,540,both,both,both,0,0,0
78,982,982,982,both,both,both,0,0,0
79,400,400,400,both,both,both,0,0,0
8,600,600,600,both,both,both,0,0,0
80,720,720,720,both,both,both,0,0,0
81,600,600,600,both,both,both,0,0,0
81W,1543,1543,1543,both,both,both,0,0,0
82,540,540,540,both,both,both,0,0,0
84,900,900,900,both,both,both,0,0,0
85,900,900,900,both,both,both,0,0,0
85A,1200,1200,1200,both,both,both,0,0,0
86,1200,1200,1200,both,both,both,0,0,0
87,675,675,675,both,both,both,0,0,0
88,1543,1543,1543,both,both,both,0,0,0
8A,982,982,982,both,both,both,0,0,0
9,540,540,540,both,both,both,0,0,0
90,1200,1200,1200,both,both,both,0,0,0
91,982,982,982,both,both,both,0,0,0
92,900,900,900,both,both,both,0,0,0
93,1200,1200,1200,both,both,both,0,0,0
94,831,831,831,both,both,both,0,0,0
95,568,568,568,both,both,both,0,0,0
96,1800,1800,1800,both,both,both,0,0,0
97,1200,1200,1200,both,both,both,0,0,0
Blue,360,360,360,both,both,both,0,0,0
Brn,450,450,450,both,both,both,0,0,0
G,600,600,600,both,both,both,0,0,0
J14,600,600,600,both,both,both,0,0,0
Org,514,514,514,both,both,both,0,0,0
P,600,600,600,both,both,both,0,0,0
Pink,600,600,600,both,both,both,0,0,0
Red,360,360,360,both,both,both,0,0,0
X4,10800,10800,10800,both,both,both,0,0,0
X9,3600,3600,3600,both,both,both,0,0,0
Y,900,900,900,both,both,both,0,0,0
