route_id,P1,P2,P3,status_P2_vs_P1,status_P3_vs_P2,status_P3_vs_P1,diff_P2_vs_P1_min,diff_P3_vs_P2_min,diff_P3_vs_P1_min
1,1029,1029,1029,both,both,both,0,0,0
10,7200,7200,NA,both,only_P2,only_P1,0,NA,NA
100,1200,1200,1200,both,both,both,0,0,0
103,800,800,800,both,both,both,0,0,0
106,800,800,800,both,both,both,0,0,0
108,1440,1440,1440,both,both,both,0,0,0
11,1029,1029,1029,both,both,both,0,0,0
111,800,800,800,both,both,both,0,0,0
111A,1200,1200,1200,both,both,both,0,0,0
112,900,900,900,both,both,both,0,0,0
115,720,720,720,both,both,both,0,0,0
119,655,655,655,both,both,both,0,0,0
12,514,514,514,both,both,both,0,0,0
120,600,600,600,both,both,both,0,0,0
121,554,554,554,both,both,both,0,0,0
124,2400,2400,2400,both,both,both,0,0,0
125,900,900,900,both,both,both,0,0,0
126,900,900,900,both,both,both,0,0,0
130,7200,7200,NA,both,only_P2,only_P1,0,NA,NA
134,379,379,379,both,both,both,0,0,0
135,450,450,450,both,both,both,0,0,0
136,655,655,655,both,both,both,0,0,0
143,450,450,450,both,both,both,0,0,0
146,720,720,720,both,both,both,0,0,0
147,900,900,900,both,both,both,0,0,0
148,379,379,379,both,both,both,0,0,0
15,800,800,800,both,both,both,0,0,0
151,655,655,655,both,both,both,0,0,0
152,514,514,514,both,both,both,0,0,0
155,554,554,554,both,both,both,0,0,0
156,800,800,800,both,both,both,0,0,0
157,655,655,655,both,both,both,0,0,0
165,1440,1440,1440,both,both,both,0,0,0
169,3600,3600,3600,both,both,both,0,0,0
171,900,900,900,both,both,both,0,0,0
172,450,450,450,both,both,both,0,0,0
18,900,900,900,both,both,both,0,0,0
192,1200,1200,1200,both,both,both,0,0,0
2,720,720,720,both,both,both,0,0,0
20,352,352,352,both,both,both,0,0,0
201,1200,1200,1200,both,both,both,0,0,0
206,2400,2400,2400,both,both,both,0,0,0
21,800,800,800,both,both,both,0,0,0
22,720,720,720,both,both,both,0,0,0
24,1029,1029,1029,both,both,both,0,0,0
26,655,655,655,both,both,both,0,0,0
28,900,900,900,both,both,both,0,0,0
29,800,800,800,both,both,both,0,0,0
3,554,554,554,both,both,both,0,0,0
30,1029,1029,1029,both,both,both,0,0,0
31,1800,1800,1800,both,both,both,0,0,0
34,600,600,600,both,both,both,0,0,0
35,720,720,720,both,both,both,0,0,0
36,800,800,800,both,both,both,0,0,0
37,655,655,655,both,both,both,0,0,0
39,1200,1200,1200,both,both,both,0,0,0
4,600,600,600,both,both,both,0,0,0
43,1200,1200,1200,both,both,both,0,0,0
44,1029,1029,1029,both,both,both,0,0,0
47,514,514,514,both,both,both,0,0,0
48,1029,1029,1029,both,both,both,0,0,0
49,554,554,554,both,both,both,0,0,0
49B,655,655,655,both,both,both,0,0,0
50,655,655,655,both,both,both,0,0,0
51,1200,1200,1200,both,both,both,0,0,0
52,720,720,720,both,both,both,0,0,0
52A,900,900,900,both,both,both,0,0,0
53,480,480,480,both,both,both,0,0,0
53A,720,720,720,both,both,both,0,0,0
54,600,600,600,both,both,both,0,0,0
54A,1440,1440,1440,both,both,both,0,0,0
54B,1029,1029,1029,both,both,both,0,0,0
55,480,480,480,both,both,both,0,0,0
55A,1620,1620,1620,both,both,both,0,0,0
55N,1440,1440,1440,both,both,both,0,0,0
56,655,655,655,both,both,both,0,0,0
57,800,800,800,both,both,both,0,0,0
59,1029,1029,1029,both,both,both,0,0,0
6,720,720,720,both,both,both,0,0,0
60,480,480,480,both,both,both,0,0,0
62,720,720,720,both,both,both,0,0,0
62H,1440,1440,1440,both,both,both,0,0,0
63,400,400,400,both,both,both,0,0,0
63W,1440,1440,1440,both,both,both,0,0,0
65,600,600,600,both,both,both,0,0,0
66,343,343,343,both,both,both,0,0,0
67,600,600,600,both,both,both,0,0,0
68,1200,1200,1200,both,both,both,0,0,0
7,900,900,900,both,both,both,0,0,0
70,480,480,480,both,both,both,0,0,0
71,600,600,600,both,both,both,0,0,0
72,450,450,450,both,both,both,0,0,0
73,554,554,554,both,both,both,0,0,0
74,400,400,400,both,both,both,0,0,0
75,655,655,655,both,both,both,0,0,0
76,480,480,480,both,both,both,0,0,0
77,313,313,313,both,both,both,0,0,0
78,720,720,720,both,both,both,0,0,0
79,343,343,343,both,both,both,0,0,0
8,400,400,400,both,both,both,0,0,0
80,514,514,514,both,both,both,0,0,0
81,480,480,480,both,both,both,0,0,0
81W,1440,1440,1440,both,both,both,0,0,0
82,514,514,514,both,both,both,0,0,0
84,720,720,720,both,both,both,0,0,0
85,720,720,720,both,both,both,0,0,0
85A,1200,1200,1200,both,both,both,0,0,0
86,1200,1200,1200,both,both,both,0,0,0
87,554,554,554,both,both,both,0,0,0
88,1200,1200,1200,both,both,both,0,0,0
